directions_detail_pattern_id,pattern,directions_detail_id,sequence_no,created_id,created_at,updated_id,updated_at
3001,0,3001,4,1,2016-06-09 14:25:33,1,2016-11-11 00:00:00
3002,0,3002,5,1,2016-06-09 14:25:33,1,2016-11-11 00:00:00
3003,0,3003,6,1,2016-06-09 14:25:33,1,2016-11-11 00:00:00
3011,0,3011,1,1,2016-08-31 09:48:03,1,2016-11-11 00:00:00
3012,0,3012,2,1,2016-08-31 09:48:03,1,2016-11-11 00:00:00
3013,0,3013,3,1,2016-08-31 09:48:03,1,2016-11-11 00:00:00
3021,0,3021,1,1,2016-09-12 10:38:29,1,2016-11-11 00:00:00
3022,0,3022,2,1,2016-09-12 10:38:29,1,2016-11-11 00:00:00
3023,0,3023,3,1,2016-09-12 10:38:29,1,2016-11-11 00:00:00
3024,0,3024,4,1,2016-09-12 10:38:29,1,2016-11-11 00:00:00
3025,0,3025,5,1,2016-09-12 10:38:29,1,2016-11-11 00:00:00
3026,0,3026,1,1,2016-06-27 11:50:22,1,2016-11-11 00:00:00
3027,0,3027,2,1,2016-06-27 11:50:22,1,2016-11-11 00:00:00
3028,0,3028,3,1,2016-06-27 11:50:22,1,2016-11-11 00:00:00
3053,0,3053,1,1,2016-06-28 14:38:43,1,2016-11-11 00:00:00
3054,0,3054,2,1,2016-06-28 14:38:43,1,2016-11-11 00:00:00
3055,0,3055,3,1,2016-06-28 14:38:43,1,2016-11-11 00:00:00
3056,0,3056,1,1,2016-10-06 13:40:43,1,2016-11-11 00:00:00
3057,0,3057,2,1,2016-10-06 13:40:43,1,2016-11-11 00:00:00
3058,0,3058,3,1,2016-10-06 13:40:43,1,2016-11-11 00:00:00
3059,0,3059,4,1,2016-10-06 13:40:43,1,2016-11-11 00:00:00
3060,0,3060,5,1,2016-10-06 13:40:43,1,2016-11-11 00:00:00
3061,0,3061,1,1,2016-02-29 12:54:35,1,2016-11-11 00:00:00
3062,0,3062,2,1,2016-02-29 12:54:35,1,2016-11-11 00:00:00
3063,0,3063,3,1,2016-02-29 12:54:35,1,2016-11-11 00:00:00
3073,0,3073,1,1,2015-06-15 15:27:22,1,2016-11-11 00:00:00
3074,0,3074,2,1,2015-06-15 15:27:22,1,2016-11-11 00:00:00
3075,0,3075,3,1,2015-06-15 15:27:22,1,2016-11-11 00:00:00
3076,0,3076,4,1,2015-06-15 15:27:22,1,2016-11-11 00:00:00
3077,0,3077,5,1,2015-06-15 15:27:22,1,2016-11-11 00:00:00
3078,0,3078,6,1,2015-06-15 15:27:22,1,2016-11-11 00:00:00
3079,0,3079,7,1,2015-06-15 15:27:22,1,2016-11-11 00:00:00
3092,0,3092,1,1,2016-06-09 13:14:33,1,2016-11-11 00:00:00
3093,0,3093,2,1,2016-06-09 13:14:33,1,2016-11-11 00:00:00
3094,0,3094,3,1,2016-06-09 13:14:33,1,2016-11-11 00:00:00
3101,0,3101,1,1,2016-09-29 14:50:14,1,2016-11-11 00:00:00
3102,0,3102,2,1,2016-09-29 14:50:14,1,2016-11-11 00:00:00
3103,0,3103,3,1,2016-09-29 14:50:14,1,2016-11-11 00:00:00
3114,0,3114,1,1,2016-06-30 12:02:36,1,2016-11-11 00:00:00
