ingredient_season_id,ingredient_id,season_start,season_end,created_id,created_at,updated_id,updated_at
234,237,101,1231,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
235,238,101,1231,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
236,239,101,1231,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
237,240,101,1231,1,2014-04-10 00:00:00,1,2015-12-15 13:53:45
238,241,101,1231,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
239,242,101,1231,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
240,243,101,1231,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
241,244,101,1231,1,2014-04-10 00:00:00,1,2015-06-08 10:38:03
242,245,701,831,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
243,246,601,831,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
244,247,101,1231,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
245,248,101,1231,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
246,249,101,1231,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
247,250,101,1231,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
248,251,101,1231,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
249,252,101,1231,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
250,253,101,1231,1,2014-04-10 00:00:00,1,2015-09-14 14:36:38
251,254,101,1231,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
252,255,101,1231,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
253,256,101,1231,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
254,257,101,1231,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
255,258,101,1231,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
256,259,101,1231,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
257,260,101,1231,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
258,261,101,1231,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
259,262,101,1231,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
260,263,101,1231,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
261,264,101,1231,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
262,265,101,1231,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
263,267,101,1231,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
264,268,101,1231,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
265,269,101,1231,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
266,270,101,1231,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
267,271,101,1231,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
268,272,101,1231,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
269,273,101,1231,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
271,275,101,1231,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
272,276,101,1231,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
273,277,101,1231,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
274,278,101,1231,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
275,279,101,1231,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
276,280,101,1231,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
277,281,101,1231,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
278,282,101,1231,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
279,283,101,1231,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
280,400,101,1231,1,2014-04-10 00:00:00,1,2015-10-07 14:56:28
281,413,101,1231,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
282,414,101,1231,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
283,415,301,531,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
284,416,101,1231,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
285,418,101,1231,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
286,419,101,1231,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
289,422,101,1231,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
290,423,1101,131,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
291,425,1201,131,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
292,426,101,1231,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
293,427,101,1231,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
294,428,1201,231,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
297,431,101,1231,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
298,433,1201,131,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
299,434,1101,331,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
300,436,1101,231,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
301,437,101,1231,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
302,439,101,1231,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
303,474,701,1131,1,2015-07-07 16:43:02,1,2016-11-11 00:00:00
304,477,101,1231,1,2015-09-14 14:12:44,1,2016-11-11 00:00:00
305,478,101,1231,1,2015-09-14 14:43:43,1,2016-11-11 00:00:00
307,487,1201,431,1,2015-10-19 13:05:50,1,2016-11-11 00:00:00
311,495,401,631,1,2015-11-11 14:51:15,1,2016-11-11 00:00:00
312,522,1201,131,1,2015-12-09 11:26:35,1,2016-11-11 00:00:00
313,528,1001,331,1,2015-12-14 13:21:29,1,2016-11-11 00:00:00
314,530,1001,231,1,2015-12-14 13:24:14,1,2016-11-11 00:00:00
315,531,1001,331,1,2015-12-14 13:25:46,1,2016-11-11 00:00:00
316,533,1001,131,1,2015-12-14 13:28:07,1,2016-11-11 00:00:00
317,535,1101,131,1,2015-12-14 13:30:53,1,2016-11-11 00:00:00
318,537,1201,331,1,2015-12-14 13:34:48,1,2016-11-11 00:00:00
319,539,1101,131,1,2015-12-14 13:37:32,1,2016-11-11 00:00:00
320,561,101,1231,1,2016-08-29 11:36:08,1,2016-08-29 11:37:34
323,1,315,715,3,2016-12-06 13:07:12,3,2016-12-06 13:07:12
324,2,101,1231,3,2016-12-06 13:09:08,3,2016-12-06 13:09:08
326,4,101,1231,3,2016-12-06 13:14:47,3,2016-12-06 13:14:47
327,4,801,831,3,2016-12-06 13:14:47,3,2016-12-06 13:14:47
331,5,101,1231,3,2016-12-06 13:30:35,3,2016-12-06 13:30:35
332,5,415,1115,3,2016-12-06 13:30:35,3,2016-12-06 13:30:35
333,6,101,1231,3,2016-12-06 13:35:28,3,2016-12-06 13:35:28
334,6,701,831,3,2016-12-06 13:35:28,3,2016-12-06 13:35:28
335,7,101,1231,3,2016-12-06 13:37:42,3,2016-12-06 13:37:42
336,8,101,1231,3,2016-12-06 13:39:33,3,2016-12-06 13:39:33
337,9,301,531,3,2016-12-06 13:42:33,3,2016-12-06 13:42:33
339,12,101,1231,3,2016-12-06 13:52:36,3,2016-12-06 13:52:36
340,13,1101,228,3,2016-12-06 13:57:43,3,2016-12-06 13:57:43
341,14,601,1031,3,2016-12-06 13:59:42,3,2016-12-06 13:59:42
343,16,301,430,3,2016-12-06 14:04:01,3,2016-12-06 14:04:01
344,17,1101,228,3,2016-12-06 14:07:51,3,2016-12-06 14:07:51
345,19,201,430,3,2016-12-06 14:13:44,3,2016-12-06 14:13:44
346,20,301,430,3,2016-12-06 14:16:23,3,2016-12-06 14:16:23
348,22,1101,315,3,2016-12-06 14:22:26,3,2016-12-06 14:22:26
349,23,1115,331,3,2016-12-06 14:24:23,3,2016-12-06 14:24:23
350,24,1201,331,3,2016-12-06 14:26:32,3,2016-12-06 14:26:32
351,26,1101,228,3,2016-12-06 14:33:02,3,2016-12-06 14:33:02
352,27,601,930,3,2016-12-06 14:34:42,3,2016-12-06 14:34:42
353,28,1101,228,3,2016-12-06 14:40:32,3,2016-12-06 14:40:32
354,29,1101,228,3,2016-12-06 14:41:00,3,2016-12-06 14:41:00
355,31,1101,228,3,2016-12-06 14:43:59,3,2016-12-06 14:43:59
356,33,615,915,3,2016-12-06 14:53:17,3,2016-12-06 14:53:17
357,34,601,831,3,2016-12-06 14:55:14,3,2016-12-06 14:55:14
358,35,801,1231,3,2016-12-06 14:58:15,3,2016-12-06 14:58:15
359,36,601,831,3,2016-12-06 15:02:38,3,2016-12-06 15:02:38
360,37,101,1231,3,2016-12-06 15:15:22,3,2016-12-06 15:15:22
361,37,401,531,3,2016-12-06 15:15:22,3,2016-12-06 15:15:22
362,38,615,915,3,2016-12-06 15:17:27,3,2016-12-06 15:17:27
363,39,615,915,3,2016-12-06 15:22:05,3,2016-12-06 15:22:05
364,41,615,915,3,2016-12-06 16:14:28,3,2016-12-06 16:14:28
365,42,401,531,3,2016-12-06 16:23:18,3,2016-12-06 16:23:18
366,42,1001,1130,3,2016-12-06 16:23:18,3,2016-12-06 16:23:18
367,42,601,930,3,2016-12-06 16:23:18,3,2016-12-06 16:23:18
