recipe_ingredient_id,recipe_id,ingredient_id,holiday_flag,mark_id,created_id,created_at,updated_id,updated_at
35706,2134,332,0,,9,2017-06-01 16:05:08,9,2017-06-01 16:05:08
35707,2134,310,0,,9,2017-06-01 16:05:08,9,2017-06-01 16:05:08
35708,2134,312,0,,9,2017-06-01 16:05:08,9,2017-06-01 16:05:08
35709,2134,284,0,,9,2017-06-01 16:05:08,9,2017-06-01 16:05:08
35710,2134,287,0,,9,2017-06-01 16:05:08,9,2017-06-01 16:05:08
35787,2211,172,1,,9,2017-06-01 16:10:28,9,2017-06-01 16:10:28
35788,2211,296,1,1,9,2017-06-01 16:10:28,9,2017-06-01 16:10:28
35789,2211,291,1,1,9,2017-06-01 16:10:28,9,2017-06-01 16:10:28
35790,2211,289,1,1,9,2017-06-01 16:10:28,9,2017-06-01 16:10:28
35791,2211,293,1,1,9,2017-06-01 16:10:28,9,2017-06-01 16:10:28
35898,2250,29,0,,9,2017-06-01 16:17:36,9,2017-06-01 16:17:36
35899,2250,126,0,,9,2017-06-01 16:17:36,9,2017-06-01 16:17:36
35900,2250,293,0,1,9,2017-06-01 16:17:36,9,2017-06-01 16:17:36
35901,2250,296,0,1,9,2017-06-01 16:17:36,9,2017-06-01 16:17:36
36052,2282,63,1,,9,2017-06-01 16:26:39,9,2017-06-01 16:26:39
36053,2282,65,1,,9,2017-06-01 16:26:39,9,2017-06-01 16:26:39
36054,2282,454,1,,9,2017-06-01 16:26:39,9,2017-06-01 16:26:39
36055,2282,334,1,,9,2017-06-01 16:26:39,9,2017-06-01 16:26:39
36056,2282,338,1,,9,2017-06-01 16:26:39,9,2017-06-01 16:26:39
36057,2282,296,1,1,9,2017-06-01 16:26:39,9,2017-06-01 16:26:39
36058,2282,291,1,1,9,2017-06-01 16:26:39,9,2017-06-01 16:26:39
36059,2282,293,1,1,9,2017-06-01 16:26:39,9,2017-06-01 16:26:39
36060,2282,289,1,1,9,2017-06-01 16:26:39,9,2017-06-01 16:26:39
36061,2282,458,1,,9,2017-06-01 16:26:39,9,2017-06-01 16:26:39
36108,2293,66,1,,9,2017-06-01 16:30:50,9,2017-06-01 16:30:50
36109,2293,121,1,,9,2017-06-01 16:30:50,9,2017-06-01 16:30:50
36110,2293,338,1,,9,2017-06-01 16:30:50,9,2017-06-01 16:30:50
36111,2293,296,1,1,9,2017-06-01 16:30:50,9,2017-06-01 16:30:50
36112,2293,291,1,1,9,2017-06-01 16:30:50,9,2017-06-01 16:30:50
36113,2293,293,1,1,9,2017-06-01 16:30:50,9,2017-06-01 16:30:50
36114,2293,289,1,1,9,2017-06-01 16:30:50,9,2017-06-01 16:30:50
36115,2293,441,1,,9,2017-06-01 16:30:50,9,2017-06-01 16:30:50
36116,2294,65,1,,9,2017-06-01 16:31:19,9,2017-06-01 16:31:19
36117,2294,35,1,,9,2017-06-01 16:31:19,9,2017-06-01 16:31:19
36118,2294,496,1,1,9,2017-06-01 16:31:19,9,2017-06-01 16:31:19
36119,2294,293,1,1,9,2017-06-01 16:31:19,9,2017-06-01 16:31:19
36120,2294,458,1,1,9,2017-06-01 16:31:19,9,2017-06-01 16:31:19
36121,2295,148,1,,9,2017-06-01 16:31:52,9,2017-06-01 16:31:52
36122,2295,76,1,,9,2017-06-01 16:31:53,9,2017-06-01 16:31:53
36123,2295,66,1,,9,2017-06-01 16:31:53,9,2017-06-01 16:31:53
36124,2295,96,0,,9,2017-06-01 16:31:53,9,2017-06-01 16:31:53
36125,2295,389,0,,9,2017-06-01 16:31:53,9,2017-06-01 16:31:53
36126,2295,293,1,,9,2017-06-01 16:31:53,9,2017-06-01 16:31:53
36127,2306,605,1,,9,2017-06-01 16:32:21,9,2017-06-01 16:32:21
36128,2306,264,1,,9,2017-06-01 16:32:21,9,2017-06-01 16:32:21
36129,2306,28,1,,9,2017-06-01 16:32:21,9,2017-06-01 16:32:21
36130,2306,22,1,,9,2017-06-01 16:32:21,9,2017-06-01 16:32:21
36131,2306,296,1,1,9,2017-06-01 16:32:21,9,2017-06-01 16:32:21
36132,2306,293,1,1,9,2017-06-01 16:32:21,9,2017-06-01 16:32:21
