directions_detail_pattern_id,previous_process,created_id,created_at,updated_id,updated_at,previous_dependence_level
86451,0,11,2017-12-07 15:00:54,11,2017-12-07 15:00:54,0
86452,2,11,2017-12-07 15:00:54,11,2017-12-07 15:00:54,0
86453,1,11,2017-12-07 15:00:54,11,2017-12-07 15:00:54,1
86453,3,11,2017-12-07 15:00:54,11,2017-12-07 15:00:54,1
86453,4,11,2017-12-07 15:00:54,11,2017-12-07 15:00:54,1
86454,5,11,2017-12-07 15:00:54,11,2017-12-07 15:00:54,1
86455,0,11,2017-12-07 15:00:55,11,2017-12-07 15:00:55,0
86456,0,11,2017-12-07 15:00:55,11,2017-12-07 15:00:55,0
86457,0,11,2017-12-07 15:00:55,11,2017-12-07 15:00:55,0
86458,2,11,2017-12-07 15:00:55,11,2017-12-07 15:00:55,0
86459,3,11,2017-12-07 15:00:55,11,2017-12-07 15:00:55,0
86460,1,11,2017-12-07 15:00:55,11,2017-12-07 15:00:55,1
86460,4,11,2017-12-07 15:00:55,11,2017-12-07 15:00:55,1
86460,5,11,2017-12-07 15:00:55,11,2017-12-07 15:00:55,1
86461,6,11,2017-12-07 15:00:55,11,2017-12-07 15:00:55,1
86515,0,11,2017-12-08 09:46:02,11,2017-12-08 09:46:02,0
86516,1,11,2017-12-08 09:46:02,11,2017-12-08 09:46:02,0
86517,2,11,2017-12-08 09:46:02,11,2017-12-08 09:46:02,0
86518,3,11,2017-12-08 09:46:02,11,2017-12-08 09:46:02,0
86519,0,11,2017-12-08 09:46:02,11,2017-12-08 09:46:02,0
86520,1,11,2017-12-08 09:46:02,11,2017-12-08 09:46:02,0
86521,2,11,2017-12-08 09:46:02,11,2017-12-08 09:46:02,0
86522,3,11,2017-12-08 09:46:02,11,2017-12-08 09:46:02,0
86523,4,11,2017-12-08 09:46:03,11,2017-12-08 09:46:03,0
86536,0,11,2017-12-08 09:53:43,11,2017-12-08 09:53:43,0
86537,1,11,2017-12-08 09:53:43,11,2017-12-08 09:53:43,0
86538,2,11,2017-12-08 09:53:43,11,2017-12-08 09:53:43,0
86539,3,11,2017-12-08 09:53:43,11,2017-12-08 09:53:43,0
86540,4,11,2017-12-08 09:53:43,11,2017-12-08 09:53:43,0
86541,5,11,2017-12-08 09:53:43,11,2017-12-08 09:53:43,0
86542,0,11,2017-12-08 09:53:43,11,2017-12-08 09:53:43,0
86543,1,11,2017-12-08 09:53:43,11,2017-12-08 09:53:43,0
86544,2,11,2017-12-08 09:53:43,11,2017-12-08 09:53:43,0
86545,3,11,2017-12-08 09:53:43,11,2017-12-08 09:53:43,0
86546,4,11,2017-12-08 09:53:43,11,2017-12-08 09:53:43,0
86547,5,11,2017-12-08 09:53:43,11,2017-12-08 09:53:43,0
86572,0,11,2017-12-08 10:18:43,11,2017-12-08 10:18:43,0
86573,0,11,2017-12-08 10:18:43,11,2017-12-08 10:18:43,0
86574,0,11,2017-12-08 10:18:43,11,2017-12-08 10:18:43,0
86575,1,11,2017-12-08 10:18:43,11,2017-12-08 10:18:43,0
86575,2,11,2017-12-08 10:18:43,11,2017-12-08 10:18:43,0
86575,3,11,2017-12-08 10:18:43,11,2017-12-08 10:18:43,0
86576,4,11,2017-12-08 10:18:43,11,2017-12-08 10:18:43,0
86577,3,11,2017-12-08 10:18:43,11,2017-12-08 10:18:43,0
86578,5,11,2017-12-08 10:18:43,11,2017-12-08 10:18:43,0
86578,6,11,2017-12-08 10:18:43,11,2017-12-08 10:18:43,0
86579,0,11,2017-12-08 10:18:43,11,2017-12-08 10:18:43,0
86580,0,11,2017-12-08 10:18:43,11,2017-12-08 10:18:43,0
86581,0,11,2017-12-08 10:18:43,11,2017-12-08 10:18:43,0
86582,1,11,2017-12-08 10:18:43,11,2017-12-08 10:18:43,0
86582,2,11,2017-12-08 10:18:43,11,2017-12-08 10:18:43,0
86582,3,11,2017-12-08 10:18:43,11,2017-12-08 10:18:43,0
86583,4,11,2017-12-08 10:18:43,11,2017-12-08 10:18:43,0
86584,3,11,2017-12-08 10:18:43,11,2017-12-08 10:18:43,0
86585,5,11,2017-12-08 10:18:43,11,2017-12-08 10:18:43,0
86585,6,11,2017-12-08 10:18:43,11,2017-12-08 10:18:43,0
86639,0,12,2017-12-08 11:07:53,12,2017-12-08 11:07:53,0
86640,1,12,2017-12-08 11:07:53,12,2017-12-08 11:07:53,0
86641,2,12,2017-12-08 11:07:53,12,2017-12-08 11:07:53,0
86642,3,12,2017-12-08 11:07:53,12,2017-12-08 11:07:53,0
86643,0,12,2017-12-08 11:07:53,12,2017-12-08 11:07:53,0
86644,0,12,2017-12-08 11:07:53,12,2017-12-08 11:07:53,0
86645,1,12,2017-12-08 11:07:53,12,2017-12-08 11:07:53,0
86645,2,12,2017-12-08 11:07:53,12,2017-12-08 11:07:53,0
86646,3,12,2017-12-08 11:07:53,12,2017-12-08 11:07:53,0
86693,0,12,2017-12-08 11:45:01,12,2017-12-08 11:45:01,0
86694,1,12,2017-12-08 11:45:01,12,2017-12-08 11:45:01,0
86695,2,12,2017-12-08 11:45:01,12,2017-12-08 11:45:01,0
86696,3,12,2017-12-08 11:45:01,12,2017-12-08 11:45:01,0
86697,4,12,2017-12-08 11:45:01,12,2017-12-08 11:45:01,0
86698,5,12,2017-12-08 11:45:01,12,2017-12-08 11:45:01,0
86699,0,12,2017-12-08 11:45:01,12,2017-12-08 11:45:01,0
86700,1,12,2017-12-08 11:45:01,12,2017-12-08 11:45:01,0
86701,1,12,2017-12-08 11:45:01,12,2017-12-08 11:45:01,0
86702,3,12,2017-12-08 11:45:01,12,2017-12-08 11:45:01,0
86703,4,12,2017-12-08 11:45:01,12,2017-12-08 11:45:01,0
86704,2,12,2017-12-08 11:45:01,12,2017-12-08 11:45:01,0
86704,5,12,2017-12-08 11:45:01,12,2017-12-08 11:45:01,0
86847,0,11,2017-12-11 11:39:22,11,2017-12-11 11:39:22,0
86848,0,11,2017-12-11 11:39:22,11,2017-12-11 11:39:22,0
86849,1,11,2017-12-11 11:39:22,11,2017-12-11 11:39:22,0
86849,2,11,2017-12-11 11:39:22,11,2017-12-11 11:39:22,0
86850,3,11,2017-12-11 11:39:22,11,2017-12-11 11:39:22,0
86851,0,11,2017-12-11 11:39:22,11,2017-12-11 11:39:22,0
86852,0,11,2017-12-11 11:39:22,11,2017-12-11 11:39:22,0
86853,1,11,2017-12-11 11:39:22,11,2017-12-11 11:39:22,0
